Category,Gender,Name,Origin,Meaning,Name Length,First Letter
nothing,Male,Coman,Arabic,"Noble, well-born",5,C
Love,Male,Dawud,Arabic,"Beloved, dear",5,D
nothing,Male,Dekel,Arabic,Palm tree,5,D
nothing,Male,Diya,Arabic,Shining,4,D
nothing,Male,Diya Aldin,Arabic,Shining religion,10,D
Virtues,Male,Fadi,Arabic,"To save, redeem",4,F
Virtues,Male,Fadil,Arabic,Virtue,5,F
nothing,Male,Fadl,Arabic,Grace,4,F
Strength and Power,Male,Fahd,Arabic,"Panther, big cat",4,F
nothing,Male,Faisal,Arabic,"Resolute, determined",6,F
nothing,Male,Fakhr,Arabic,Glory,5,F
nothing,Male,Fakih,Arabic,"Intelligent, smart",5,F
nothing,Male,Faraj,Arabic,Cure,5,F
nothing,Male,Farid,Arabic,"Exceptional, unique",5,F
nothing,Male,Faris,Arabic,"Knight, warrior",5,F
nothing,Male,Farouk,Arabic,Discerning truth,6,F
nothing,Male,Fathi,Arabic,"Victor, winner",5,F
nothing,Male,Fawz,Arabic,Accomplished,4,F
nothing,Male,Fayiz,Arabic,Winner,5,F
nothing,Male,Fazl,Arabic,"Abundance, plenty",4,F
Birth Order,Male,Ferran,Arabic,Baker,6,F
nothing,Male,Fikri,Arabic,"Smart, intelligent",5,F
nothing,Male,Firas,Arabic,"Persistent, stubborn",5,F
nothing,Male,Fuad,Arabic,Heart,4,F
nothing,Male,Gadi,Arabic,Fortune,4,G
God,Male,Gadiel,Arabic,God is my fortune,6,G
nothing,Male,Gamal,Arabic,Camel,5,G
nothing,Male,Ghalib,Arabic,Defeat,6,G
nothing,Male,Ghassan,Arabic,"Youthful, young",7,G
nothing,Male,Ghayth,Arabic,Rain,6,G
Strength and Power,Male,Ghazi,Arabic,Conquering,5,G
Objects,Male,Gilad,Arabic,Hump of a camel,5,G
nothing,Male,Gulzar,Arabic,"Blooming, flowering",6,G
Love,Male,Habib,Arabic,Loved one,5,H
nothing,Male,Hadad,Arabic,Syrian god of virility; manly,5,H
nothing,Male,Hadi,Arabic,Guide,4,H
nothing,Male,Hafiz,Arabic,"Protector, guard",5,H
nothing,Male,Haidar,Arabic,Lion,6,H
nothing,Male,Hakim,Arabic,Wise,5,H
nothing,Male,Halil,Arabic,"Friend, ally",5,H
nothing,Male,Halim,Arabic,Gentle,5,H
nothing,Male,Hamadi,Arabic,Praised,6,H
nothing,Male,Hamal,Arabic,Lamb,5,H
God,Male,Hamid,Arabic,Thankful to God,5,H
Strength and Power,Male,Hamza,Arabic,"Powerful, mighty",5,H
Virtues,Male,Hanbal,Arabic,Purity,6,H
nothing,Male,Hani,Arabic,"Happy, joyful",4,H
nothing,Male,Hanif,Arabic,"Follower of Islam, believer",5,H
nothing,Male,Harath,Arabic,To provide,6,H
Strength and Power,Male,Harb,Arabic,"Warrior, fighter",4,H
nothing,Male,Harith,Arabic,Capable,6,H
Virtues,Male,Haroun,Arabic,"Noble, highborn",6,H
nothing,Male,Harun,Arabic,Praised highly,5,H
nothing,Male,Hasad,Arabic,Harvest,5,H
nothing,Male,Hashim,Arabic,Destroyer of evil,6,H
nothing,Male,Hasib,Arabic,Reckoner,5,H
nothing,Male,Hasim,Arabic,To determine,5,H
nothing,Male,Hassan,Arabic,Handsome,6,H
nothing,Male,Hatim,Arabic,To decide,5,H
nothing,Male,Haytham,Arabic,Proud,7,H
nothing,Male,Hibah,Arabic,Gift,5,H
nothing,Male,Hikmat,Arabic,Knowledge,6,H
nothing,Male,Hilal,Arabic,New moon,5,H
nothing,Male,Hisham,Arabic,"To break, snap",6,H
nothing,Male,Humayd,Arabic,To praise,6,H
nothing,Male,Husam,Arabic,Sword,5,H
nothing,Male,Husni,Arabic,Perfection,5,H
nothing,Male,Hussain,Arabic,Small handsome one,7,H
nothing,Male,Ibn,Arabic,Son,3,I
nothing,Male,Ihab,Arabic,Present,4,I
nothing,Male,Ihsan,Arabic,Benevolence,5,I
nothing,Male,Iklal,Arabic,Crown of believers,5,I
nothing,Male,Imad,Arabic,"Support, mainstay",4,I
nothing,Male,Imran,Arabic,Host,5,I
nothing,Male,Isam,Arabic,"Pledge, promise",4,I
nothing,Male,Ishaq,Arabic,Laughter,5,I
nothing,Male,Iskandar,Arabic,Protector,8,I
God,Male,Ismah,Arabic,God listens,5,I
nothing,Male,Ismail,Arabic,? (Name of a Moslem prophet),6,I
nothing,Male,Ismat,Arabic,"Protector, guard",5,I
Strength and Power,Male,Izz Aldin,Arabic,Power of faith,9,I
nothing,Male,Jabir,Arabic,Consolation,5,J
nothing,Male,Jakeem,Arabic,Uplifting,6,J
nothing,Male,Jalaad,Arabic,Glory,6,J
nothing,Male,Jalal,Arabic,"Great, majestic",5,J
nothing,Male,Jamal,Arabic,Handsome,5,J
nothing,Male,Jamil,Arabic,Handsome,5,J
nothing,Male,Javier,Arabic,Bright,6,J
nothing,Male,Jawdat,Arabic,Good,6,J
nothing,Male,Jawhar,Arabic,"Jewel, gem",6,J
nothing,Male,Jericho,Arabic,Moon city,7,J
nothing,Male,Jermal,Arabic,Handsome,6,J
Strength and Power,Male,Jibri,Arabic,"Powerful, strong",5,J
nothing,Male,Jimell,Arabic,Handsome,6,J
Nature,Male,Jinan,Arabic,Garden,5,J
nothing,Male,Kabil,Arabic,Spear gatherer,5,K
Strength and Power,Male,Kadar,Arabic,"Powerful, strong",5,K
nothing,Male,Kadeem,Arabic,Servant,6,K
nothing,Male,Kadin,Arabic,Friend,5,K
nothing,Male,Kadir,Arabic,Spring greening,5,K
nothing,Male,Kalat,Arabic,Castle,5,K
nothing,Male,Kale,Arabic,Naive,4,K
nothing,Male,Kalid,Arabic,"Eternal, everlasting",5,K
nothing,Male,Kalil,Arabic,Friend,5,K
nothing,Male,Kaliq,Arabic,"Artistic, creative",5,K
nothing,Male,Kamal,Arabic,Perfection,5,K
nothing,Male,Kardal,Arabic,Mustard seed,6,K
Virtues,Male,Kareem,Arabic,"Noble, generous",6,K
Birth Order,Male,Karif,Arabic,Born in autumn/fall,5,K
nothing,Male,Karim,Arabic,Generous,5,K
nothing,Male,Kaseem,Arabic,Divided,6,K
nothing,Male,Kasib,Arabic,Fertile,5,K
nothing,Male,Kateb,Arabic,Writer,5,K
nothing,Male,Kedar,Arabic,Powerful,5,K
nothing,Male,Khaldun,Arabic,Eternal,7,K
nothing,Male,Khalid,Arabic,"Eternal, never- ending",6,K
Leadership and Royalty,Male,Khalif,Arabic,"King, ruler",6,K
nothing,Male,Khanh,Arabic,Prince,5,K
Virtues,Male,Khayrat,Arabic,Beneficial act,7,K
nothing,Male,Khoury,Arabic,"Priest, holy one",6,K
nothing,Male,Kilab,Arabic,Dog,5,K
Intellectual Qualities,Male,Labib,Arabic,"Intelligent, sensible",5,L
nothing,Male,Lateef,Arabic,Gentle,6,L
nothing,Male,Lazhar,Arabic,Best appearance,6,L
nothing,Male,Lutfi,Arabic,Kind friend,5,L
nothing,Male,Maimun,Arabic,Lucky,6,M
Strength and Power,Male,Makin,Arabic,"Strength, power",5,M
nothing,Male,Makram,Arabic,"Noble, regal",6,M
Leadership and Royalty,Male,Malik,Arabic,"Master, lord",5,M
nothing,Male,Mamduh,Arabic,To approve,6,M
nothing,Male,Mamun,Arabic,Faithful,5,M
nothing,Male,Manal,Arabic,Achiever,5,M
nothing,Male,Manar,Arabic,"Role model, guiding light",5,M
nothing,Male,Mansur,Arabic,Divine assistance,6,M
nothing,Male,Marid,Arabic,"Defiant, rebellious",5,M
Objects,Male,Marwan,Arabic,"Possibly Rock, stone",6,M
nothing,Male,Masud,Arabic,Lucky,5,M
nothing,Male,Mazin,Arabic,Cloud,5,M
nothing,Male,Mohammed,Arabic,Highly praised,8,M
nothing,Male,Mousa,Arabic,From water,5,M
nothing,Male,Mubarak,Arabic,Blessed,7,M
Birth Order,Male,Mubdi,Arabic,Beginner,5,M
nothing,Male,Muhannad,Arabic,Sword,8,M
nothing,Male,Muhsin,Arabic,Generous,6,M
nothing,Male,Muid,Arabic,Restorer,4,M
nothing,Male,Mukhtar,Arabic,To choose,7,M
nothing,Male,Munim,Arabic,Charitable,5,M
nothing,Male,Munir,Arabic,Bright light,5,M
nothing,Male,Musad,Arabic,Lucky,5,M
nothing,Male,Mustapha,Arabic,Chosen,8,M
nothing,Male,Mutasim,Arabic,Shelter,7,M
nothing,Male,Mutazz,Arabic,Strong,6,M
Virtues,Male,Nabil,Arabic,"Noble, highborn",5,N
nothing,Male,Naeem,Arabic,Generous,5,N
nothing,Male,Nailah,Arabic,"Successful, victorious",6,N
nothing,Male,Naim,Arabic,"Happy, joyous",4,N
nothing,Male,Naj,Arabic,"To save, safe",3,N
nothing,Male,Naji,Arabic,"To save, safe",4,N
Virtues,Male,Najib,Arabic,"Noble, highborn",5,N
nothing,Male,Namil,Arabic,To achieve,5,N
nothing,Male,Namir,Arabic,Leopard,5,N
nothing,Male,Nasr,Arabic,Victory,4,N
nothing,Male,Nasser,Arabic,"The winner, victor",6,N
nothing,Male,Nazih,Arabic,"Trustworthy, reliable",5,N
nothing,Male,Nizam,Arabic,"Leader, chief",5,N
nothing,Male,Nizar,Arabic,?,5,N
nothing,Male,Nouri,Arabic,Light,5,N
nothing,Male,Numa,Arabic,Kindness,4,N
nothing,Male,Numair,Arabic,Panther,6,N
nothing,Male,Nur Aldin,Arabic,Light of faith,9,N
nothing,Male,Nuri,Arabic,"Light, fire",4,N
nothing,Male,Nusair,Arabic,"Vulture, bird of prey",6,N
nothing,Male,Omar,Arabic,Follower of the Prophet,4,O
nothing,Male,Qabil,Arabic,"Able, capable",5,Q
nothing,Male,Qadim,Arabic,"Ancient, old",5,Q
Strength and Power,Male,Qadir,Arabic,"Powerful, strong",5,Q
nothing,Male,Qamar,Arabic,Moon,5,Q
nothing,Male,Qasim,Arabic,Provider,5,Q
Virtues,Male,Qayyim,Arabic,Rightful; generous,6,Q
nothing,Male,Quabiz,Arabic,Restrainer,6,Q
Strength and Power,Male,Quahhar,Arabic,Dominant,7,Q
nothing,Male,Qudamah,Arabic,"Courageous, brave",7,Q
nothing,Male,Quddus,Arabic,"Holy, sacred",6,Q
nothing,Male,Qusay,Arabic,"Distant, far",5,Q
nothing,Male,Rabi,Arabic,"Spring, harvest",4,R
nothing,Male,Rad,Arabic,Thunder,3,R
nothing,Male,Radwan,Arabic,Delight,6,R
Virtues,Male,Rafat,Arabic,"Merciful, kind",5,R
nothing,Male,Rafi,Arabic,Holding high,4,R
nothing,Male,Raghib,Arabic,"Desired, wanted",6,R
nothing,Male,Raghid,Arabic,"Cheerful, happy",6,R
nothing,Male,Rahman,Arabic,Compassionate,6,R
nothing,Male,Rahul,Arabic,"Traveler, wanderer",5,R
nothing,Male,Raid,Arabic,"Guide, teacher",4,R
nothing,Male,Rajab,Arabic,Seventh month,5,R
Virtues,Male,Rakin,Arabic,"Respectable, worthy",5,R
nothing,Male,Ramadan,Arabic,Ninth month,7,R
Love,Male,Rami,Arabic,Loving,4,R
nothing,Male,Raquib,Arabic,"Protector, guardian",6,R
nothing,Male,Ras,Arabic,"Cape, cloak",3,R
Virtues,Male,Rashid,Arabic,"Righteous, virtuous",6,R
nothing,Male,Rauf,Arabic,"Sympathetic, kind hearted",4,R
nothing,Male,Rayhan,Arabic,Favored by God,6,R
nothing,Male,Razzaq,Arabic,"Guardian, protector",6,R
God,Male,Reyham,Arabic,God's choice,6,R
nothing,Male,Rida,Arabic,Favored one,4,R
nothing,Male,Rigel,Arabic,Foot,5,R
Nature,Male,Riyad,Arabic,Garden,5,R
nothing,Male,Sabir,Arabic,"Patient, calm",5,S
Strength and Power,Male,Saddam,Arabic,"Hard-hitting, strong",6,S
nothing,Male,Safa,Arabic,Pure child,4,S
nothing,Male,Safwat,Arabic,"Selected, chosen",6,S
nothing,Male,Said,Arabic,"Happy, joyful",4,S
nothing,Male,Sakhr,Arabic,Rock,5,S
Virtues,Male,Salah,Arabic,Virtuous,5,S
nothing,Male,Salid,Arabic,"Lucky, fortunate",5,S
nothing,Male,Salih,Arabic,Just,5,S
nothing,Male,Salim,Arabic,"Tranquility, peace",5,S
Virtues,Male,Samih,Arabic,"Tolerant, understanding",5,S
nothing,Male,Samir,Arabic,Entertainer,5,S
nothing,Male,Samman,Arabic,Grocer,6,S
nothing,Male,Saqr,Arabic,"Falcon, bird",4,S
nothing,Male,Sariyah,Arabic,Clouds at night,7,S
nothing,Male,Sayed,Arabic,Prince,5,S
nothing,Male,Sayyid,Arabic,Leader,6,S
nothing,Male,Seif,Arabic,Sword of religion,4,S
nothing,Male,Shadi,Arabic,Singer,5,S
nothing,Male,Shafer,Arabic,Good,6,S
Emotions,Male,Shafiq,Arabic,Sympathy,6,S
nothing,Male,Shahid,Arabic,Witness,6,S
nothing,Male,Shakir,Arabic,"Grateful, thankful",6,S
nothing,Male,Shamin,Arabic,Fragrant,6,S
nothing,Male,Shaquille,Arabic,Handsome,9,S
Virtues,Male,Sharif,Arabic,"Honest, noble",6,S
nothing,Male,Shihab,Arabic,"Fire, flame",6,S
Nature,Male,Shunnar,Arabic,"Pheasant, bird",7,S
nothing,Male,Siraj,Arabic,Light,5,S
nothing,Male,Sofian,Arabic,"Devoted, loyal",6,S
nothing,Male,Subhi,Arabic,"Dawn, early morning",5,S
nothing,Male,Sued,Arabic,"Chief, leader",4,S
nothing,Male,Suhayl,Arabic,Star,6,S
nothing,Male,Sulaiman,Arabic,Peaceable,8,S
nothing,Male,Syed,Arabic,"Happy, joyful",4,S
nothing,Male,Tabari,Arabic,Remember,6,T
nothing,Male,Tabib,Arabic,Doctor,5,T
nothing,Male,Tahir,Arabic,"Pure, unsullied",5,T
nothing,Male,Talib,Arabic,Seeker of knowledge,5,T
nothing,Male,Tamir,Arabic,Tall,5,T
nothing,Male,Tarif,Arabic,"Uncommon, rare",5,T
nothing,Male,Tawfiq,Arabic,Good luck,6,T
nothing,Male,Tawl,Arabic,Tall,4,T
Strength and Power,Male,Thabit,Arabic,"Firm, tough",6,T
nothing,Male,Timin,Arabic,Sea serpent,5,T
nothing,Male,Ubadah,Arabic,Serves God,6,U
nothing,Male,Umar,Arabic,"To bloom, blossom",4,U
Strength and Power,Male,Usamah,Arabic,Like a lion,6,U
nothing,Male,Uzair,Arabic,"Helper, aide",5,U
Love,Male,Wadud,Arabic,Loving,5,W
nothing,Male,Wahid,Arabic,"Unique, different",5,W
nothing,Male,Wajid,Arabic,Finder,5,W
nothing,Male,Wajih,Arabic,Extraordinary,5,W
nothing,Male,Wakil,Arabic,"Advocate, supporter",5,W
Birth Order,Male,Walid,Arabic,Newborn,5,W
Virtues,Male,Wasil,Arabic,"Divine, holy",5,W
nothing,Male,Wasim,Arabic,Attractive,5,W
nothing,Male,Wazire,Arabic,Minister,6,W
nothing,Male,Witha,Arabic,Handsome,5,W
God,Male,Yahya,Arabic,God is good,5,Y
nothing,Male,Yaqub,Arabic,To grasp by the heel,5,Y
Leadership and Royalty,Male,Yardan,Arabic,"King, leader",6,Y
nothing,Male,Yasir,Arabic,Well to do,5,Y
nothing,Male,Yunis,Arabic,"Dove, bird",5,Y
God,Male,Yushua,Arabic,God's help,6,Y
nothing,Male,Zafar,Arabic,Triumphant,5,Z
nothing,Male,Zafir,Arabic,"To win, victory",5,Z
nothing,Male,Zahid,Arabic,Strict,5,Z
nothing,Male,Zahir,Arabic,"Brilliant, shining",5,Z
nothing,Male,Zahur,Arabic,Flower,5,Z
nothing,Male,Zaid,Arabic,"To increase, grow",4,Z
nothing,Male,Zaim,Arabic,General,4,Z
God,Male,Zakariyya,Arabic,God knows,9,Z
nothing,Male,Zaki,Arabic,"Smart, intelligent",4,Z
nothing,Male,Zero,Arabic,Void,4,Z
nothing,Male,Zimraan,Arabic,"Noted, famous",7,Z
nothing,Male,Ziyad,Arabic,"Increase, grow",5,Z
Leadership and Royalty,Male,Zoltan,Arabic,"Sultan, great ruler",6,Z
nothing,Male,Zuhayr,Arabic,Young flower,6,Z
Nature,Female,Shaqueita,African---American,From the woods,9,S
nothing,Female,Tashanee,African---American,"Marvelous, wonderful",8,T
nothing,Female,Twyla,African---American,?,5,T
nothing,Female,Karmiti,African---Bantu,Tree,7,K
God,Female,Goitsemedime,African---Botswana,God knows,12,G
nothing,Female,Kagiso,African---Botswana,Peace,6,K
Love,Female,Lerato,African---Botswana,Love,6,L
nothing,Female,Moswen,African---Botswana,"Light colored, white",6,M
nothing,Female,Tale,African---Botswana,Green,4,T
nothing,Female,Amenti,African---Egyptian,Goddess of the west,6,A
Nature,Female,Asenath,African---Egyptian,Thorn bush,7,A
Love,Female,Hathor,African---Egyptian,Love (Goddess of love),6,H
nothing,Female,Isis,African---Egyptian,"Spirit, supreme goddess",4,I
nothing,Female,Kiki,African---Egyptian,Castor plant,4,K
nothing,Female,Nefertiti,African---Egyptian,The beautiful one approaches,9,N
nothing,Female,Neith,African---Egyptian,Goddess of the home,5,N
nothing,Female,Nenet,African---Egyptian,Goddess,5,N
nothing,Female,Qadesh,African---Egyptian,Goddess,6,Q
Strength and Power,Female,Sekhmet,African---Egyptian,"Mighty, strong",7,S
nothing,Female,Sesheta,African---Egyptian,Goddess of the stars,7,S
nothing,Female,Tafne,African---Egyptian,Goddess of light,5,T
Strength and Power,Female,Toeris,African---Egyptian,"Great, powerful",6,T
nothing,Female,Zahi,African---Egyptian,?,4,Z
nothing,Female,Melesse,African---Ethiopian,"Eternal, everlasting",7,M
nothing,Female,Seble,African---Ethiopian,Born in autumn,5,S
Birth Order,Female,Quaashie,African---Ewe,Born on Sunday,8,Q
Birth Order,Female,Aba,African---Ghanian,Born on Thursday,3,A
nothing,Female,Ababuo,African---Ghanian,Child that keeps coming back,6,A
nothing,Female,Abam,African---Ghanian,Second child born after twins,4,A
Birth Order,Female,Abena,African---Ghanian,Born on a Tuesday,5,A
Birth Order,Female,Abmaba,African---Ghanian,Born on a Tuesday,6,A
Birth Order,Female,Adowa,African---Ghanian,Born on Tuesday,5,A
Birth Order,Female,Adzo,African---Ghanian,Born on Monday,4,A
nothing,Female,Afafa,African---Ghanian,First child from second husband,5,A
nothing,Female,Afryea,African---Ghanian,Born during happy times,6,A
Birth Order,Female,Afua,African---Ghanian,Born on Friday,4,A
Birth Order,Female,Ajua,African---Ghanian,Born on Monday,4,A
Birth Order,Female,Akosua,African---Ghanian,Born on Sunday,6,A
Birth Order,Female,Akwokwo,African---Ghanian,Younger of twins,7,A
Birth Order,Female,Ama,African---Ghanian,Born on Saturday,3,A
Birth Order,Female,Baako,African---Ghanian,First born,5,B
Birth Order,Female,Baba,African---Ghanian,Born on Thursday,4,B
Birth Order,Female,Do,African---Ghanian,First child after twins,2,D
Birth Order,Female,Efia,African---Ghanian,Born on Friday,4,E
Birth Order,Female,Ekua,African---Ghanian,Born on Wednesday,4,E
nothing,Female,Enomwoyi,African---Ghanian,Graceful,8,E
nothing,Female,Enyonyam,African---Ghanian,It is good for me,8,E
Birth Order,Female,Esi,African---Ghanian,Born on Sunday,3,E
Birth Order,Female,Kakra,African---Ghanian,Second of twins,5,K
Birth Order,Female,Kofi,African---Ghanian,Born on Friday,4,K
Birth Order,Female,Kukua,African---Ghanian,Born on Wednesday,5,K
Birth Order,Female,Kunto,African---Ghanian,Third daughter,5,K
Birth Order,Female,Lumusi,African---Ghanian,Born face downwards,6,L
God,Female,Mawusi,African---Ghanian,In God's hands,6,M
Leadership and Royalty,Female,Morowa,African---Ghanian,"Queen, ruler",6,M
nothing,Female,Nanyamka,African---Ghanian,Lamb,8,N
Birth Order,Female,Panyin,African---Ghanian,First born of twins,6,P
nothing,Female,Thema,African---Ghanian,Queen,5,T
Birth Order,Female,Yaa,African---Ghanian,Born on Thursday,3,Y
Birth Order,Female,Ye,African---Ghanian,First born of twins,2,Y
nothing,Female,Tashi,African---Hausa,Flying bird,5,T
God,Female,Olisa,African---Ibo,God,5,O
nothing,Female,Aluna,African---Kenyan,Come here,5,A
Birth Order,Female,Jumapiu,African---Kenyan,Born on Sunday,7,J
nothing,Female,Kanih,African---Kenyan,Black cloth,5,K
nothing,Female,Masani,African---Lugandan,One with a gap in her teeth,6,M
Birth Order,Female,Nafuna,African---Lugandan,Born feet first,6,N
nothing,Female,Abinkanile,African---Malawian,Listen,10,A
Emotions,Female,Alile,African---Malawian,She cries,5,A
nothing,Female,Buseje,African---Malawian,Ask me,6,B
nothing,Female,Chaonaine,African---Malawian,It has seen me,9,C
Emotions,Female,Kuuraga,African---Malawian,Crying,7,K
nothing,Female,Mesi,African---Malawian,Water,4,M
nothing,Female,Njemile,African---Malawian,Honorable,7,N
nothing,Female,Sigele,African---Malawian,Left,6,S
nothing,Female,Teleza,African---Malawian,Slippery,6,T
nothing,Female,Wesisa,African---Musoga,Foolish,6,W
nothing,Female,Abagbe,African---Nigerian,Much wanted child,6,A
nothing,Female,Abayomi,African---Nigerian,Brings happiness,7,A
nothing,Female,Abebi,African---Nigerian,She came after asking,5,A
nothing,Female,Abeke,African---Nigerian,We asked for her,5,A
nothing,Female,Abeo,African---Nigerian,She brings joy,4,A
nothing,Female,Abidemi,African---Nigerian,Born during the father's absence,7,A
nothing,Female,Abimbola,African---Nigerian,Wealthy,8,A
nothing,Female,Abiona,African---Nigerian,Born during a trip,6,A
nothing,Female,Adamma,African---Nigerian,Pretty child,6,A
Family relations,Female,Adanna,African---Nigerian,Father's daughter,6,A
nothing,Female,Adebola,African---Nigerian,Her honor,7,A
Emotions,Female,Adedagbo,African---Nigerian,"Happiness, joy",8,A
nothing,Female,Adeleke,African---Nigerian,The crown brings happiness,7,A
nothing,Female,Adeola,African---Nigerian,Crown,6,A
Virtues,Female,Adesimbo,African---Nigerian,Noble birth,8,A
Birth Order,Female,Adesina,African---Nigerian,First of many children,7,A
Love,Female,Aduke,African---Nigerian,"Beloved, dear",5,A
nothing,Female,Aina,African---Nigerian,Difficult birth,4,A
nothing,Female,Aiyetoro,African---Nigerian,Peace on earth,8,A
Love,Female,Akanke,African---Nigerian,To want her is to love her,6,A
nothing,Female,Alaba,African---Nigerian,Second child born after twins,5,A
nothing,Female,Alake,African---Nigerian,One to be fussed over,5,A
nothing,Female,Aleeka,African---Nigerian,Pretty girl,6,A
Virtues,Female,Alike,African---Nigerian,"Noble, highborn",5,A
Emotions,Female,Amadi,African---Nigerian,Celebration,5,A
Love,Female,Amoke,African---Nigerian,To know her is to love her,5,A
nothing,Female,Aniweta,African---Nigerian,A spirit brings it,7,A
nothing,Female,Anuli,African---Nigerian,Joyous,5,A
nothing,Female,Apara,African---Nigerian,A child that comes and goes,5,A
Virtues,Female,Asabi,African---Nigerian,"Noble, highborn",5,A
nothing,Female,Ayobami,African---Nigerian,I am blessed,7,A
nothing,Female,Ayobunmi,African---Nigerian,Joy is mine,8,A
nothing,Female,Ayodele,African---Nigerian,Joy in our home,7,A
nothing,Female,Ayofemi,African---Nigerian,Joy likes me,7,A
nothing,Female,Ayoka,African---Nigerian,"Joy, happiness",5,A
nothing,Female,Ayoluwa,African---Nigerian,Joy of our people,7,A
nothing,Female,Ayoola,African---Nigerian,Joy in wealth,6,A
nothing,Female,Baderinwa,African---Nigerian,Worthy of respect,9,B
nothing,Female,Banjoko,African---Nigerian,One who stays,7,B
Emotions,Female,Bayo,African---Nigerian,"Happiness, joy",4,B
nothing,Female,Bolade,African---Nigerian,Coming of honor,6,B
Virtues,Female,Bolade,African---Nigerian,Honor is here,6,B
nothing,Female,Bolanile,African---Nigerian,This house's riches,8,B
nothing,Female,Bolanile,African---Nigerian,Wealth in our house,8,B
nothing,Female,Bunmi,African---Nigerian,My gift,5,B
God,Female,Chika,African---Nigerian,God is supreme,5,C
God,Female,Chinara,African---Nigerian,God receives,7,C
nothing,Female,Chinue,African---Nigerian,Blessings of God,6,C
nothing,Female,Dada,African---Nigerian,Curly-haired child,4,D
nothing,Female,Dayo,African---Nigerian,Joy is here,4,D
nothing,Female,Ebun,African---Nigerian,Gift,4,E
nothing,Female,Eca,African---Nigerian,Bird,3,E
nothing,Female,Ega,African---Nigerian,Bird,3,E
nothing,Female,Fabayo,African---Nigerian,"Fortunate, lucky",6,F
nothing,Female,Fayola,African---Nigerian,"Lucky, fortunate",6,F
Love,Female,Femi,African---Nigerian,Love me,4,F
nothing,Female,Fola,African---Nigerian,Honorable,4,F
nothing,Female,Folade,African---Nigerian,Bringer of honor,6,F
nothing,Female,Folami,African---Nigerian,Respect me,6,F
nothing,Female,Folayan,African---Nigerian,Walking proudly,7,F
God,Female,Foluke,African---Nigerian,God's care,6,F
Birth Order,Female,Hasana,African---Nigerian,First born of female twins,6,H
nothing,Female,Hembadoon,African---Nigerian,Victor,9,H
Birth Order,Female,Idowu,African---Nigerian,First child born after twins,5,I
nothing,Female,Ifama,African---Nigerian,All is well,5,I
Love,Female,Ife,African---Nigerian,Love,3,I
Love,Female,Ifetayo,African---Nigerian,Love is joyful,7,I
nothing,Female,Ikuseghan,African---Nigerian,Peace is better than war,9,I
God,Female,Isoka,African---Nigerian,Gift from God,5,I
nothing,Female,Iverem,African---Nigerian,"Good luck, fortune",6,I
nothing,Female,Iyabo,African---Nigerian,Mother returns,5,I
nothing,Female,Izegbe,African---Nigerian,Long-awaited child,6,I
Love,Female,Jumoke,African---Nigerian,Loved by all,6,J
Birth Order,Female,Kehinde,African---Nigerian,Second born of twins,7,K
nothing,Female,Kokumo,African---Nigerian,This child will not die,6,K
Emotions,Female,Limber,African---Nigerian,"Happiness, joy",6,L
nothing,Female,Malomo,African---Nigerian,Evil spirits,6,M
nothing,Female,Matanmi,African---Nigerian,Do not lie to me,7,M
nothing,Female,Monifa,African---Nigerian,"I am lucky, fortunate",6,M
