Category,Gender,Name,Origin,Meaning,Name Length,First Letter
nothing,Female,Nayo,African---Nigerian,She is our joy,4,N
nothing,Female,Ngozi,African---Nigerian,"Good luck, blessing",5,N
Family relations,Female,Nneka,African---Nigerian,Important mother,5,N
nothing,Female,Nombese,African---Nigerian,Good child,7,N
nothing,Female,Nourbese,African---Nigerian,Special child,8,N
nothing,Female,Obioma,African---Nigerian,"Kind, gentle",6,O
Birth Order,Female,Ode,African---Nigerian,Born while travelling,3,O
nothing,Female,Ola,African---Nigerian,Precious,3,O
nothing,Female,Olabisi,African---Nigerian,To increase,7,O
nothing,Female,Olaniyi,African---Nigerian,Wealth,7,O
nothing,Female,Olubayo,African---Nigerian,"Joy, happiness",7,O
God,Female,Olufunmilayo,African---Nigerian,God gives me joy,12,O
nothing,Female,Omolara,African---Nigerian,Born at the right time,7,O
nothing,Female,Omorose,African---Nigerian,Beautiful child,7,O
nothing,Female,Omusupe,African---Nigerian,She is precious,7,O
nothing,Female,Oni,African---Nigerian,"Desired, wanted",3,O
nothing,Female,Oseye,African---Nigerian,"Happy, joyful",5,O
Leadership and Royalty,Female,Saraunlya,African---Nigerian,"Queen, ruler",9,S
Birth Order,Female,Taiwo,African---Nigerian,First born twin,5,T
nothing,Female,Titilayo,African---Nigerian,Eternal happiness,8,T
God,Female,Uchenna,African---Nigerian,God's will,7,U
Birth Order,Female,Ulu,African---Nigerian,Second born girl,3,U
nothing,Female,Urbi,African---Nigerian,"Princess, royalty",4,U
Family relations,Female,Yejde,African---Nigerian,She resembles her mother,5,Y
God,Female,Imana,African---Rwandan,God of all,5,I
nothing,Female,Muteteli,African---Rwandan,Dainty,8,M
nothing,Female,Uwimana,African---Rwandan,Daughter of God,7,U
nothing,Female,Deka,African---Somalian,"Pleasing, pleasant",4,D
nothing,Female,Kalifa,African---Somalian,Califa,6,K
God,Female,Adia,African---Swahili,Gift from God,4,A
nothing,Female,Afiya,African---Swahili,Health,5,A
nothing,Female,Aisha,African---Swahili,Life,5,A
nothing,Female,Ayah,African---Swahili,Bright,4,A
Love,Female,Azua,African---Swahili,"Beloved, dear",4,A
nothing,Female,Bahati,African---Swahili,Lucky,6,B
nothing,Female,Barika,African---Swahili,Successful,6,B
nothing,Female,Batini,African---Swahili,Intimate thoughts,6,B
nothing,Female,Bina,African---Swahili,Dancer,4,B
Birth Order,Female,Chausiku,African---Swahili,Born at night,8,C
nothing,Female,Chiku,African---Swahili,A talker,5,C
nothing,Female,Chuki,African---Swahili,Born during a time of hatred,5,C
nothing,Female,Dalila,African---Swahili,"Delicate, gentle",6,D
nothing,Female,Dalili,African---Swahili,"Omen, sign",6,D
nothing,Female,Dashiki,African---Swahili,African skirt,7,D
Birth Order,Female,Dawatha,African---Swahili,"Last born, youngest",7,D
nothing,Female,Dinka,African---Swahili,People,5,D
nothing,Female,Eshe,African---Swahili,Life,4,E
Family relations,Female,Fujo,African---Swahili,Her parents are divorced,4,F
nothing,Female,Goma,African---Swahili,Dance of joy,4,G
nothing,Female,Hadiya,African---Swahili,Religious leader,6,H
nothing,Female,Halima,African---Swahili,Gentle,6,H
nothing,Female,Halla,African---Swahili,Unexpected guest or gift,5,H
nothing,Female,Hasina,African---Swahili,Good,6,H
Emotions,Female,Hawa,African---Swahili,Desire,4,H
nothing,Female,Iesha,African---Swahili,"Iaisha, Leshya",5,I
Strength and Power,Female,Imara,African---Swahili,Firm,5,I
Virtues,Female,Jaha,African---Swahili,"Dignity, pride",4,J
nothing,Female,Jina,African---Swahili,Name,4,J
nothing,Female,Jokia,African---Swahili,Robe of adornment,5,J
Objects,Female,Kamari,African---Swahili,Like the moon,6,K
nothing,Female,Keisha,African---Swahili,Favorite,6,K
Family relations,Female,Kesi,African---Swahili,Daughter with a difficult father,4,K
nothing,Female,Kibibi,African---Swahili,Little girl,6,K
nothing,Female,Kifimbo,African---Swahili,A twig,7,K
nothing,Female,Lulu,African---Swahili,Pearl,4,L
nothing,Female,Marini,African---Swahili,Healthy,6,M
nothing,Female,Marjani,African---Swahili,Coral,7,M
nothing,Female,Mashavu,African---Swahili,Chubby cheeks,7,M
Birth Order,Female,Masika,African---Swahili,Born during the rainy season,6,M
nothing,Female,Maskini,African---Swahili,Poor,7,M
Birth Order,Female,Maulidi,African---Swahili,Born during the Islamic month of Maulidi,7,M
Birth Order,Female,Mosi,African---Swahili,First born,4,M
Birth Order,Female,Mwanahamisi,African---Swahili,Born on Thursday,11,M
Birth Order,Female,Mwanajuma,African---Swahili,Born on Friday,9,M
nothing,Female,Neema,African---Swahili,Born in prosperity,5,N
nothing,Female,Nuru,African---Swahili,Light of day,4,N
nothing,Female,Paka,African---Swahili,Kitten,4,P
nothing,Female,Panya,African---Swahili,Mouse,5,P
Birth Order,Female,Pasua,African---Swahili,Born by cesarean section,5,P
Love,Female,Penda,African---Swahili,Beloved,5,P
Birth Order,Female,Pili,African---Swahili,Second born child,4,P
nothing,Female,Radhiya,African---Swahili,To agree,7,R
nothing,Female,Ramla,African---Swahili,"Predicts the future, seer",5,R
nothing,Female,Raziya,African---Swahili,"Agreeable, kind",6,R
nothing,Female,Rehema,African---Swahili,"Compassion, kindness",6,R
nothing,Female,Rukiya,African---Swahili,To arise,6,R
nothing,Female,Saada,African---Swahili,"Help, aid",5,S
Virtues,Female,Salama,African---Swahili,"Security, peace",6,S
nothing,Female,Salma,African---Swahili,"Safe, secure",5,S
nothing,Female,Sanura,African---Swahili,Kitten,6,S
nothing,Female,Sauda,African---Swahili,Dark-skinned,5,S
nothing,Female,Shafira,African---Swahili,"Distinguished, famed",7,S
nothing,Female,Shani,African---Swahili,A marvel; wondrous,5,S
nothing,Female,Shukura,African---Swahili,Grateful,7,S
nothing,Female,Siti,African---Swahili,Respected lady,4,S
nothing,Female,Subira,African---Swahili,Patience,6,S
nothing,Female,Tabia,African---Swahili,Talented,5,T
nothing,Female,Tisa,African---Swahili,Ninth child,4,T
nothing,Female,Waseme,African---Swahili,People talking,6,W
nothing,Female,Winda,African---Swahili,Hunt,5,W
nothing,Female,Zakiya,African---Swahili,Pure,6,Z
nothing,Female,Zalika,African---Swahili,"Well-born, noble",6,Z
nothing,Female,Zawadi,African---Swahili,Present,6,Z
nothing,Female,Zuri,African---Swahili,"Beautiful, lovely",4,Z
nothing,Female,Zuwena,African---Swahili,Good,6,Z
nothing,Female,Akili,African---Tanzanian,Wisdom,5,A
Birth Order,Female,Doto,African---Tanzanian,Second of twins,4,D
Birth Order,Female,Kulwa,African---Tanzanian,First born of twins,5,K
God,Female,Kyalamboka,African---Tanzanian,God save me,10,K
Birth Order,Female,Mwanawa,African---Tanzanian,First born,7,M
nothing,Female,Ngabile,African---Tanzanian,It belongs to me,7,N
nothing,Female,Sekelaga,African---Tanzanian,Rejoice,8,S
nothing,Female,Suma,African---Tanzanian,"Ask, request",4,S
God,Female,Tulinagwe,African---Tanzanian,God is with us,9,T
nothing,Female,Tusajigwe,African---Tanzanian,We are blessed,9,T
Birth Order,Female,Kissa,African---Ugandan,Born after twins,5,K
nothing,Female,Nabulungi,African---Ugandan,"Beautiful, lovely",9,N
Birth Order,Female,Namono,African---Ugandan,Second of twins,6,N
Birth Order,Female,Zesiro,African---Ugandan,First born twin,6,Z
nothing,Female,Manisa,African---Xhosha,Sweet,6,M
Love,Female,Amadika,African---Zimbabwe,Beloved,7,A
nothing,Female,Chipo,African---Zimbabwe,Gift,5,C
nothing,Female,Japera,African---Zimbabwe,"Complete, total",6,J
nothing,Female,Jendaya,African---Zimbabwe,"To give thanks, grateful",7,J
nothing,Female,Kamali,African---Zimbabwe,Guardian angel of infants,6,K
Emotions,Female,Katura,African---Zimbabwe,Relief,6,K
nothing,Female,Magara,African---Zimbabwe,To sit,6,M
nothing,Female,Maiba,African---Zimbabwe,"Serious, grave",5,M
Love,Female,Mudiwa,African---Zimbabwe,Beloved,6,M
nothing,Female,Nehanda,African---Zimbabwe,Strong,7,N
nothing,Female,Nomusa,African---Zimbabwe,Merciful,6,N
Emotions,Female,Rufaro,African---Zimbabwe,"Happiness, joy",6,R
Emotions,Female,Sibongile,African---Zimbabwe,Appreciation,9,S
Love,Female,Thandiwe,African---Zulu,Beloved,8,T
nothing,Female,Themba,African---Zulu,Hope,6,T
God,Female,Kwanita,African---Zuni,God is good,7,K
nothing,Female,Abia,Arabic,Great,4,A
nothing,Female,Abida,Arabic,She who worships,5,A
nothing,Female,Abir,Arabic,Scent,4,A
nothing,Female,Adiba,Arabic,"Cultured, refined",5,A
nothing,Female,Adila,Arabic,"Just, fair",5,A
nothing,Female,Adiva,Arabic,"Agreeable, gentle",5,A
nothing,Female,Adra,Arabic,Virgin,4,A
Virtues,Female,Afaf,Arabic,Virtuous,4,A
Nature,Female,Afra,Arabic,Color of earth,4,A
nothing,Female,Afraima,Arabic,Fertile,7,A
nothing,Female,Ahlam,Arabic,To dream,5,A
nothing,Female,Aida,Arabic,"Reward, present",4,A
nothing,Female,Ain,Arabic,Treasure,3,A
nothing,Female,Aisha,Arabic,Woman,5,A
nothing,Female,Akilah,Arabic,"Bright, smart",6,A
Virtues,Female,Alaia,Arabic,"Sublime, virtuous",5,A
nothing,Female,Alea,Arabic,Honorable,4,A
nothing,Female,Alhena,Arabic,Ring,6,A
nothing,Female,Alima,Arabic,Learned in dancing & music,5,A
nothing,Female,Alimet,Arabic,Woman who knows everything,6,A
nothing,Female,Aliya,Arabic,"Highborn, noble",5,A
Leadership and Royalty,Female,Almera,Arabic,"Aristocrat, noble",6,A
nothing,Female,Almira,Arabic,Truth without question,6,A
nothing,Female,Altair,Arabic,Bird,6,A
nothing,Female,Alzena,Arabic,The woman,6,A
nothing,Female,Alzubra,Arabic,? (A star in the constellation Leo),7,A
nothing,Female,Amal,Arabic,Hope,4,A
nothing,Female,Amani,Arabic,"To want, desire",5,A
nothing,Female,Amina,Arabic,"Honest, trustworthy",5,A
nothing,Female,Amira,Arabic,"Noble, highborn girl",5,A
nothing,Female,Ammu,Arabic,Beloved aunt,4,A
nothing,Female,Anisah,Arabic,"Friendly, congenial",6,A
nothing,Female,Anwar,Arabic,Rays of light,5,A
nothing,Female,Ara,Arabic,Brings rain,3,A
nothing,Female,Arub,Arabic,Affectionate wife,4,A
nothing,Female,Arwa,Arabic,Young goat,4,A
nothing,Female,Ashia,Arabic,Life,5,A
nothing,Female,Asima,Arabic,Guardian,5,A
nothing,Female,Asma,Arabic,"Renown, fame",4,A
Emotions,Female,Atifa,Arabic,"Empathy, effection",5,A
nothing,Female,Atiya,Arabic,Present,5,A
Family relations,Female,Ayasha,Arabic,Wife,6,A
nothing,Female,Ayda,Arabic,Help,4,A
nothing,Female,Aza,Arabic,Comfort,3,A
nothing,Female,Azhar,Arabic,Flower,5,A
nothing,Female,Aziza,Arabic,"Precious, beloved",5,A
Love,Female,Azize,Arabic,"Dear, beloved",5,A
nothing,Female,Azusena,Arabic,Lily,7,A
Nature,Female,Azza,Arabic,Gazelle,4,A
nothing,Female,Bab,Arabic,From the gateway,3,B
nothing,Female,Badriyyah,Arabic,Full moon,9,B
nothing,Female,Bahija,Arabic,"Happy, joyous",6,B
nothing,Female,Bahira,Arabic,Dazzling,6,B
nothing,Female,Bariah,Arabic,To succeed,6,B
nothing,Female,Barika,Arabic,Bloom,6,B
nothing,Female,Bashiyra,Arabic,"Joy, happiness",8,B
nothing,Female,Basima,Arabic,To smile,6,B
nothing,Female,Bathshira,Arabic,Seventh daughter,9,B
nothing,Female,Bibi,Arabic,Lady,4,B
Nature,Female,Buthnaya,Arabic,"Pasture, field",8,B
Strength and Power,Female,Cala,Arabic,"Castle, fortress",4,C
nothing,Female,Cantara,Arabic,Little bridge,7,C
Nature,Female,Carma,Arabic,Fruit field,5,C
nothing,Female,Charde,Arabic,One who leaves,6,C
nothing,Female,Dalal,Arabic,To flirt,5,D
nothing,Female,Dayana,Arabic,Divine,6,D
nothing,Female,Dima,Arabic,Rain,4,D
nothing,Female,Dua,Arabic,To pray,3,D
nothing,Female,Duha,Arabic,"Unseen, invisible",4,D
Virtues,Female,Fadila,Arabic,Virtue,6,F
nothing,Female,Faida,Arabic,Abundant,5,F
nothing,Female,Faida,Arabic,Plentiful,5,F
nothing,Female,Falzah,Arabic,Triumphant,6,F
nothing,Female,Fardoos,Arabic,"Utopia, paradise",7,F
nothing,Female,Farida,Arabic,"Unique, exceptional",6,F
nothing,Female,Fariha,Arabic,"Happy, joyful",6,F
nothing,Female,Fathiya,Arabic,"Victor, winner",7,F
nothing,Female,Fatima,Arabic,?,6,F
nothing,Female,Fatin,Arabic,Bewitching,5,F
nothing,Female,Fayruz,Arabic,Turquoise,6,F
nothing,Female,Fayza,Arabic,"Victor, winner",5,F
nothing,Female,Fidda,Arabic,Silver,5,F
nothing,Female,Fikriya,Arabic,To meditate,7,F
nothing,Female,Fukayna,Arabic,"Knowledgeable, intelligent",7,F
nothing,Female,Genna,Arabic,Small bird,5,G
nothing,Female,Ghada,Arabic,Graceful,5,G
Nature,Female,Ghadir,Arabic,"River, stream",6,G
nothing,Female,Ghaliya,Arabic,Sweet smelling,7,G
nothing,Female,Ghufran,Arabic,To forgive,7,G
Love,Female,Habiba,Arabic,Loved one,6,H
nothing,Female,Hadil,Arabic,"Cooing pigeon, bird",5,H
nothing,Female,Hadya,Arabic,Guide,5,H
nothing,Female,Hafsah,Arabic,? (Wife of Mohammed),6,H
nothing,Female,Hajar,Arabic,To abandon,5,H
Objects,Female,Hala,Arabic,Ring of light around the moon,4,H
nothing,Female,Halimah,Arabic,"Gentle, soft-spoken",7,H
God,Female,Hamida,Arabic,Thankful to God,6,H
Virtues,Female,Hanan,Arabic,"Merciful, kind",5,H
nothing,Female,Hanifa,Arabic,"Follower of Islam, believer",6,H
nothing,Female,Haniyya,Arabic,"Happy, joyous",7,H
nothing,Female,Haqikah,Arabic,"Truthful, honest",7,H
nothing,Female,Hasanati,Arabic,Good,8,H
nothing,Female,Hasna,Arabic,Strong,5,H
nothing,Female,Hathshira,Arabic,Seventh daughter,9,H
nothing,Female,Hayat,Arabic,Alive,5,H
nothing,Female,Hayfa,Arabic,"Slender, well shaped",5,H
nothing,Female,Hiba,Arabic,Present,4,H
nothing,Female,Huda,Arabic,Direction,4,H
nothing,Female,Hurriyyah,Arabic,Angel,9,H
nothing,Female,Husniya,Arabic,"Excellence, greatness",7,H
Emotions,Female,Ibtihaj,Arabic,"Happiness, joy",7,I
nothing,Female,Ibtisam,Arabic,To smile,7,I
nothing,Female,Ihsana,Arabic,Benevolent,6,I
nothing,Female,Iman,Arabic,"Faith, belief",4,I
nothing,Female,Imin,Arabic,"Conviction, belief",4,I
nothing,Female,Inam,Arabic,Charitable,4,I
nothing,Female,Inas,Arabic,Friendly,4,I
nothing,Female,Isra,Arabic,Night trip,4,I
nothing,Female,Itidal,Arabic,Middle of the road,6,I
nothing,Female,Izdihar,Arabic,Blossoming,7,I
nothing,Female,Jala,Arabic,Clear,4,J
nothing,Female,Jalila,Arabic,Great,6,J
nothing,Female,Jamelia,Arabic,"Beautiful, pretty",7,J
Love,Female,Jamila,Arabic,Lovely,6,J
nothing,Female,Janan,Arabic,Spirited,5,J
Nature,Female,Janna,Arabic,Fruit harvest,5,J
nothing,Female,Jarnila,Arabic,"Beautiful, lovely",7,J
nothing,Female,Jathibiyya,Arabic,Attractive,10,J
nothing,Female,Jawahir,Arabic,"Gem, jewel",7,J
nothing,Female,Jena,Arabic,Little bird,4,J
Nature,Female,Jessenia,Arabic,"Flower, blossom",8,J
nothing,Female,Jumana,Arabic,Pearl,6,J
Love,Female,Kalila,Arabic,Beloved,6,K
nothing,Female,Kalthum,Arabic,Fat cheeked,7,K
nothing,Female,Kamila,Arabic,Perfect,6,K
nothing,Female,Karida,Arabic,"Pure, virginal",6,K
nothing,Female,Karimah,Arabic,"Giving, generous",7,K
nothing,Female,Kauser,Arabic,Kausera,6,K
nothing,Female,Keshisha,Arabic,Elder,8,K
nothing,Female,Ketifa,Arabic,Flowering,6,K
Birth Order,Female,Khadija,Arabic,Born prematurely,7,K
nothing,Female,Khadqah,Arabic,Honorable,7,K
nothing,Female,Khalida,Arabic,"Eternal, forever, everlasting",7,K
nothing,Female,Kohinoor,Arabic,Light,8,K
nothing,Female,Laila,Arabic,Night,5,L
Virtues,Female,Lakia,Arabic,"Treasure, riches",5,L
nothing,Female,Lamya,Arabic,Dark lips,5,L
nothing,Female,Latavia,Arabic,"Pleasant, nice",7,L
nothing,Female,Lawahiz,Arabic,"To glance, look",7,L
nothing,Female,Leila,Arabic,Dark as night,5,L
nothing,Female,Lila,Arabic,Night,4,L
nothing,Female,Lilith,Arabic,"Ghost, night demon",6,L
nothing,Female,Lina,Arabic,Palm tree,4,L
nothing,Female,Lujayn,Arabic,Silver,6,L
nothing,Female,Madia,Arabic,To praise,5,M
nothing,Female,Maha,Arabic,Big eyes,4,M
nothing,Female,Mahasitn,Arabic,Good,8,M
nothing,Female,Maiza,Arabic,"Discerning, observant",5,M
nothing,Female,Majidah,Arabic,Magnificent,7,M
nothing,Female,Malak,Arabic,Angel,5,M
nothing,Female,Manar,Arabic,"Role model, guiding light",5,M
nothing,Female,Maritza,Arabic,"Blessed, lucky",7,M
nothing,Female,Martiza,Arabic,"Blessed, lucky",7,M
Objects,Female,Marwa,Arabic,"Possibly Rock, stone",5,M
Emotions,Female,Marymat,Arabic,"Sadness, grief",7,M
nothing,Female,Mawiyah,Arabic,Life,7,M
nothing,Female,Maysa,Arabic,Walk proudly,5,M
nothing,Female,Medina,Arabic,"City, town",6,M
nothing,Female,Melek,Arabic,Angel,5,M
nothing,Female,Mouna,Arabic,"Wish, desire",5,M
nothing,Female,Muhayya,Arabic,Welcome,7,M
nothing,Female,Muminah,Arabic,Believer,7,M
Emotions,Female,Muna,Arabic,"Desire, wish",4,M
nothing,Female,Muslimah,Arabic,Religious one,8,M
nothing,Female,Mylsha,Arabic,Woman,6,M
nothing,Female,Nabiha,Arabic,Smart,6,N
nothing,Female,Nabila,Arabic,"Highborn, noble",6,N
nothing,Female,Nada,Arabic,Dew at sunrise,4,N
nothing,Female,Nadida,Arabic,Equal,6,N
nothing,Female,Nadira,Arabic,"Rare, precious",6,N
nothing,Female,Naeemah,Arabic,Generous,7,N
nothing,Female,Nahla,Arabic,Drink,5,N
nothing,Female,Nailah,Arabic,"Successful, victorious",6,N
nothing,Female,Majam,Arabic,Star,5,M
nothing,Female,Najat,Arabic,"To save, safe",5,N
Virtues,Female,Najiba,Arabic,"Noble, highborn",6,N
nothing,Female,Najla,Arabic,Pretty eyes,5,N
nothing,Female,Najwa,Arabic,Confide,5,N
nothing,Female,Nasrin,Arabic,Rose,6,N
nothing,Female,Nathitfa,Arabic,Pure,8,N
nothing,Female,Nawal,Arabic,Present,5,N
nothing,Female,Nazihah,Arabic,"Trustworthy, reliable",7,N
nothing,Female,Nazira,Arabic,Equal,6,N
nothing,Female,Neheda,Arabic,"Independent, strong",6,N
nothing,Female,Nepa,Arabic,Walking backwards,4,N
nothing,Female,Nibal,Arabic,Arrow,5,N
nothing,Female,Nihal,Arabic,One who drinks,5,N
nothing,Female,Nlmah,Arabic,Blessing,5,N
nothing,Female,Noura,Arabic,Light,5,N
God,Female,Ntmatuallah,Arabic,God's blessing,11,N
nothing,Female,Nudar,Arabic,Golden,5,N
nothing,Female,Nuha,Arabic,Smart,4,N
nothing,Female,Nur,Arabic,Light,3,N
nothing,Female,Oma,Arabic,"Commander, leader",3,O
nothing,Female,Peridot,Arabic,"Precious, rare",7,P
nothing,Female,Polla,Arabic,Poppy flower,5,P
Strength and Power,Female,Qadira,Arabic,"Powerful, strong",6,Q
nothing,Female,Qitarah,Arabic,"Fragrant, scented",7,Q
nothing,Female,Qubilah,Arabic,"Agreement, harmony",7,Q
nothing,Female,Rabab,Arabic,Pale cloud,5,R
nothing,Female,Rabi,Arabic,"Spring, harvest",4,R
nothing,Female,Rabiah,Arabic,Breeze,6,R
nothing,Female,Radwa,Arabic,Mountain,5,R
Virtues,Female,Rafa,Arabic,"Well-being, prosperity",4,R
nothing,Female,Raghida,Arabic,"Happy, cheerful",7,R
nothing,Female,Raidah,Arabic,"Guide, teacher",6,R
Emotions,Female,Raja,Arabic,"Hope, anticipation",4,R
nothing,Female,Randa,Arabic,Tree,5,R
nothing,Female,Raniya,Arabic,"Gazing, looking",6,R
Nature,Female,Rasha,Arabic,Gazelle,5,R
Virtues,Female,Rasheda,Arabic,"Righteous, virtuous",7,R
Virtues,Female,Rashida,Arabic,"Righteous, virtuous",7,R
Family relations,Female,Rashieka,Arabic,Descended from royalty,8,R
nothing,Female,Rawiya,Arabic,Tell a story,6,R
nothing,Female,Rayya,Arabic,Quenched thirst,5,R
nothing,Female,Rida,Arabic,Favored one,4,R
nothing,Female,Rihana,Arabic,Sweet basil herb,6,R
nothing,Female,Rima,Arabic,Antelope,4,R
nothing,Female,Rukan,Arabic,Confident,5,R
nothing,Female,Ruqayya,Arabic,Arise,7,R
nothing,Female,Ruwaydah,Arabic,Graceful walk,8,R
nothing,Female,Saba,Arabic,Morning,4,S
nothing,Female,Sabira,Arabic,Patience,6,S
nothing,Female,Sabiya,Arabic,Morning east wind,6,S
nothing,Female,Sabriyya,Arabic,"Patient, calm",8,S
nothing,Female,Sadiya,Arabic,"Lucky, fortunate",6,S
nothing,Female,Safa,Arabic,Pure child,4,S
nothing,Female,Safiya,Arabic,Best friend,6,S
nothing,Female,Sahar,Arabic,"Sunrise, dawn",5,S
nothing,Female,Saidah,Arabic,Happy,6,S
nothing,Female,Salha,Arabic,Ethical,5,S
Virtues,Female,Salihah,Arabic,"Virtuous, pure",7,S
nothing,Female,Salimah,Arabic,"Healthy, sound",7,S
nothing,Female,Salwa,Arabic,Comfort,5,S
nothing,Female,Samar,Arabic,Night talk,5,S
nothing,Female,Sameh,Arabic,One who forgives,5,S
Virtues,Female,Samia,Arabic,"Tolerant, understanding",5,S
nothing,Female,Samya,Arabic,To rise up,5,S
nothing,Female,Sana,Arabic,To shine,4,S
nothing,Female,Sarab,Arabic,"Fantasy, dream",5,S
nothing,Female,Sawsan,Arabic,"Lily, flower",6,S
nothing,Female,Sema,Arabic,Sky,4,S
nothing,Female,Shadya,Arabic,Singer,6,S
Emotions,Female,Shafiqa,Arabic,Sympathy,7,S
nothing,Female,Shahar,Arabic,Moonlight,6,S
nothing,Female,Shahira,Arabic,"Famous, noted",7,S
nothing,Female,Shammara,Arabic,Prepare for battle,8,S
Virtues,Female,Sharifa,Arabic,Noble,7,S
nothing,Female,Shatara,Arabic,Hard-working,7,S
nothing,Female,Shatha,Arabic,Perfume,6,S
nothing,Female,Sheherazade,Arabic,City dweller,11,S
nothing,Female,Sherika,Arabic,Easterner,7,S
nothing,Female,Shukriya,Arabic,"Thanks, gratitude",8,S
nothing,Female,Siham,Arabic,Arrow,5,S
nothing,Female,Suhad,Arabic,Insomnia,5,S
nothing,Female,Suhailah,Arabic,Gentle,8,S
nothing,Female,Syreeta,Arabic,Companion,7,S
nothing,Female,Tabina,Arabic,Muhammed's follower,6,T
nothing,Female,Taghrid,Arabic,Singing bird,7,T
nothing,Female,Tahira,Arabic,"Virginal, pure",6,T
nothing,Female,Tahiyya,Arabic,Welcome,7,T
Social Roles,Female,Takia,Arabic,"Worshipper, follower",5,T
nothing,Female,Taliba,Arabic,Seeker of knowledge,6,T
nothing,Female,Talmor,Arabic,"Myrrh, perfume",6,T
nothing,Female,Tamath,Arabic,Slow pace,6,T
nothing,Female,Taqiyya,Arabic,Devotion,7,T
nothing,Female,Tarub,Arabic,Cheerful,5,T
Emotions,Female,Thana,Arabic,"Thanksgiving, gratitude",5,T
nothing,Female,Thurayya,Arabic,Star,8,T
nothing,Female,Ulima,Arabic,"Wise, learned one",5,U
nothing,Female,Um-Kalthum,Arabic,Mother of a plump cheeked baby,10,U
nothing,Female,Umayma,Arabic,Little mother,6,U
Family relations,Female,Umm,Arabic,Mother,3,U
Emotions,Female,Umniya,Arabic,"Desire, want",6,U
Strength and Power,Female,Uzza,Arabic,"Mighty, strong",4,U
nothing,Female,Vega,Arabic,Falling one,4,V
Love,Female,Wadd,Arabic,Beloved,4,W
nothing,Female,Wafa,Arabic,"Faithful, loyal",4,W
Virtues,Female,Waja,Arabic,"Noble, highborn",4,W
Birth Order,Female,Walida,Arabic,Newborn,6,W
nothing,Female,Wattan,Arabic,Homeland,6,W
Love,Female,Widad,Arabic,Love,5,W
Love,Female,Widad,Arabic,Love,5,W
nothing,Female,Yesenia,Arabic,Flower,7,Y
nothing,Female,Yiesha,Arabic,Woman,6,Y
nothing,Female,Yusra,Arabic,"Rich, wealthy",5,Y
nothing,Female,Zada,Arabic,Lucky one,4,Z
nothing,Female,Zafina,Arabic,Triumphant,6,Z
nothing,Female,Zafira,Arabic,"To win, victory",6,Z
nothing,Female,Zahira,Arabic,"Brilliant, shining",6,Z
nothing,Female,Zahra,Arabic,White,5,Z
nothing,Female,Zaida,Arabic,Huntress or Fortunate,5,Z
nothing,Female,Zaidee,Arabic,"Wealthy, prosperous",6,Z
nothing,Female,Zaira,Arabic,Dawning,5,Z
nothing,Female,Zarifa,Arabic,Graceful,6,Z
Nature,Female,Zaynab,Arabic,Plant,6,Z
Nature,Female,Zubaida,Arabic,Marigold flower,7,Z
nothing,Female,Zuleika,Arabic,"Brilliant, lovely",7,Z
nothing,Female,Zurafa,Arabic,"Lovely, beautiful",6,Z
